car_name,year,price,assemble_place,series,km,engine_type,transmission,url
Ford Tourneo Limousine 2.0 AT,2021,878 Triệu,Lắp ráp trong nước,Van/Minivan,0 Km,Xăng  2.0 L,Số tự động,https://bonbanh.com/xe-ford-tourneo-limousine-2.0-at-2021-5641019
Samsung QM5 2.0 AT,2014,290 Triệu,Nhập khẩu,Crossover,"15,000 Km",Xăng  2.0 L,Số tự động,https://bonbanh.com/xe-samsung-qm5-2.0-at-2014-5429723
Ford Ranger Wildtrak 2.0L 4x4 AT,2022,770 Triệu,Lắp ráp trong nước,Bán tải / Pickup,"5,000 Km",Dầu  2.0 L,Số tự động,https://bonbanh.com/xe-ford-ranger-wildtrak-2.0l-4x4-at-2022-5318666
Toyota Camry 2.5Q,2020,980 Triệu,Nhập khẩu,Sedan,"28,000 Km",Xăng  2.5 L,Số tự động,https://bonbanh.com/xe-toyota-camry-2.5q-2020-5563075
Toyota Raize G 1.0 CVT,2022,518 Triệu,Nhập khẩu,SUV,"6,120 Km",Xăng  1.0 L,Số tự động,https://bonbanh.com/xe-toyota-raize-g-1.0-cvt-2022-5602625
Lexus RX 350,2008,525 Triệu,Nhập khẩu,SUV,"100,000 Km",Xăng  3.5 L,Số tự động,https://bonbanh.com/xe-lexus-rx-350-2008-5638018
Toyota Corolla Cross 1.8HV,2021,820 Triệu,Nhập khẩu,SUV,"20,000 Km",Hybrid  1.8 L,Số tự động,https://bonbanh.com/xe-toyota-corolla_cross-1.8hv-2021-5318646
Ford Ranger Wildtrak 2.0L 4x4 AT,2019,633 Triệu,Nhập khẩu,Bán tải / Pickup,"70,000 Km",Dầu  2.0 L,Số tự động,https://bonbanh.com/xe-ford-ranger-wildtrak-2.0l-4x4-at-2019-5496404
Daewoo Matiz Groove 1.0 AT,2010,168 Triệu,Nhập khẩu,Hatchback,0 Km,Xăng  1.0 L,Số tự động,https://bonbanh.com/xe-daewoo-matiz-groove-1.0-at-2010-5446817
Mercedes Benz C class C250 CGI,2010,270 Triệu,Lắp ráp trong nước,Sedan,"16,000 Km",Xăng  1.8 L,Số tự động,https://bonbanh.com/xe-mercedes_benz-c_class-c250-cgi-2010-5376227
Toyota Corolla altis 1.8G AT,2008,280 Triệu,Lắp ráp trong nước,Sedan,"15,000 Km",Xăng  1.8 L,Số tự động,https://bonbanh.com/xe-toyota-corolla_altis-1.8g-at-2008-5529752
Kia Morning Deluxe,2021,305 Triệu,Lắp ráp trong nước,Hatchback,0 Km,Xăng  1.25 L,Số tự động,https://bonbanh.com/xe-kia-morning-deluxe-2021-5600253
Ford Focus Titanium 2.0 AT,2014,315 Triệu,Lắp ráp trong nước,Sedan,"83,000 Km",Xăng  2.0 L,Số tự động,https://bonbanh.com/xe-ford-focus-titanium-2.0-at-2014-5639130
Mazda 2 1.5 AT,2022,398 Triệu,Nhập khẩu,Sedan,"37,000 Km",Xăng  1.5 L,Số tự động,https://bonbanh.com/xe-mazda-2-1.5-at-2022-5633054
Honda City RS 1.5 AT,2022,498 Triệu,Lắp ráp trong nước,Sedan,"39,200 Km",Xăng  1.5 L,Số tự động,https://bonbanh.com/xe-honda-city-rs-1.5-at-2022-5622257
Kia Sorento GATH,2016,515 Triệu,Lắp ráp trong nước,SUV,"70,000 Km",Xăng  2.4 L,Số tự động,https://bonbanh.com/xe-kia-sorento-gath-2016-5641011
Peugeot 2008 GT Line 1.2 AT,2022,675 Triệu,Lắp ráp trong nước,Crossover,0 Km,Xăng  1.2 L,Số tự động,https://bonbanh.com/xe-peugeot-2008-gt-line-1.2-at-2022-5542086
Ssangyong XLV 1.6 AT,2016,445 Triệu,Nhập khẩu,SUV,"50,000 Km",Xăng  1.6 L,Số tự động,https://bonbanh.com/xe-ssangyong-xlv-1.6-at-2016-5626125
