car_name,year,price,assemble_place,series,km,engine_type,transmission,url,brand,model
Kia Sportage GT Line,2015,570000000.0,Nhập khẩu,Crossover,110000,Xăng,Số tự động,https://bonbanh.com/xe-kia-sportage-gt-line-2015-5617028,Kia,Sportage GT Line
Lexus NX 300,2020,2050000000.0,Nhập khẩu,SUV,39000,Xăng,Số tự động,https://bonbanh.com/xe-lexus-nx-300-2020-5537901,Lexus,NX 300
Toyota Camry 2.0G,2021,869000000.0,Nhập khẩu,Sedan,73000,Xăng,Số tự động,https://bonbanh.com/xe-toyota-camry-2.0g-2021-5640980,Toyota,Camry 2.0G
Mazda 3 1.5L Deluxe,2022,555000000.0,Lắp ráp trong nước,Sedan,35000,Xăng,Số tự động,https://bonbanh.com/xe-mazda-3-1.5l-deluxe-2022-5640979,Mazda,3 1.5L Deluxe
Mazda 3 1.5L Sport Luxury,2019,499000000.0,Lắp ráp trong nước,Hatchback,5000,Xăng,Số tự động,https://bonbanh.com/xe-mazda-3-1.5l-sport-luxury-2019-5640975,Mazda,3 1.5L Sport Luxury
Kia Sorento Signature 2.2 AT AWD,2022,1035000000.0,Lắp ráp trong nước,SUV,33000,Dầu,Số tự động,https://bonbanh.com/xe-kia-sorento-signature-2.2-at-awd-2022-5640972,Kia,Sorento Signature 2.2 AT AWD
Mitsubishi Xpander 1.5 AT,2020,545000000.0,Nhập khẩu,SUV,20000,Xăng,Số tự động,https://bonbanh.com/xe-mitsubishi-xpander-1.5-at-2020-5598323,Mitsubishi,Xpander 1.5 AT
VinFast Lux A 2.0 Tiêu chuẩn,2022,630000000.0,Lắp ráp trong nước,Sedan,28000,Xăng,Số tự động,https://bonbanh.com/xe-vinfast-lux_a_2.0-tieu-chuan-2022-5595474,VinFast,Lux A 2.0 Tiêu chuẩn
Audi Q3 2.0 Quattro,2012,460000000.0,Nhập khẩu,Crossover,110000,Xăng,Số tự động,https://bonbanh.com/xe-audi-q3-2.0-quattro-2012-5616538,Audi,Q3 2.0 Quattro
Toyota Yaris 1.3 AT,2010,255000000.0,Nhập khẩu,Hatchback,9000,Xăng,Số tự động,https://bonbanh.com/xe-toyota-yaris-1.3-at-2010-5589289,Toyota,Yaris 1.3 AT
Honda Civic 1.8 AT,2012,295000000.0,Lắp ráp trong nước,Sedan,10000,Xăng,Số tự động,https://bonbanh.com/xe-honda-civic-1.8-at-2012-5602235,Honda,Civic 1.8 AT
Mazda 3 S 1.6 AT,2014,335000000.0,Lắp ráp trong nước,Sedan,85000,Xăng,Số tự động,https://bonbanh.com/xe-mazda-3-s-1.6-at-2014-5468250,Mazda,3 S 1.6 AT
Mercedes Benz C class C250 Exclusive,2015,655000000.0,Lắp ráp trong nước,Sedan,100000,Xăng,Số tự động,https://bonbanh.com/xe-mercedes_benz-c_class-c250-exclusive-2015-5627626,Mercedes,Benz C class C250 Exclusive
Honda Jazz V,2018,350000000.0,Nhập khẩu,Hatchback,61000,Xăng,Số tự động,https://bonbanh.com/xe-honda-jazz-v-2018-5632091,Honda,Jazz V
Lexus RX 300,2021,2930000000.0,Nhập khẩu,SUV,33000,Xăng,Số tự động,https://bonbanh.com/xe-lexus-rx-300-2021-5620754,Lexus,RX 300
Cadillac Escalade 6.2 V8,2015,2685000000.0,Nhập khẩu,SUV,80000,Xăng,Số tự động,https://bonbanh.com/xe-cadillac-escalade-6.2-v8-2015-5500921,Cadillac,Escalade 6.2 V8
Audi A4 1.8 TFSI,2014,445000000.0,Nhập khẩu,Sedan,110000,Xăng,Số tự động,https://bonbanh.com/xe-audi-a4-1.8-tfsi-2014-5624140,Audi,A4 1.8 TFSI
Mercedes Benz GLK Class GLK300 4Matic,2011,395000000.0,Lắp ráp trong nước,SUV,160000,Xăng,Số tự động,https://bonbanh.com/xe-mercedes_benz-glk_class-glk300-4matic-2011-5624170,Mercedes,Benz GLK Class GLK300 4Matic
Kia Sorento 2.4 GAT Deluxe,2019,585000000.0,Lắp ráp trong nước,SUV,72000,Xăng,Số tự động,https://bonbanh.com/xe-kia-sorento-2.4-gat-deluxe-2019-5578420,Kia,Sorento 2.4 GAT Deluxe
Mercedes Benz S class S400L,2014,1250000000.0,Lắp ráp trong nước,Sedan,71000,Xăng,Số tự động,https://bonbanh.com/xe-mercedes_benz-s_class-s400l-2014-5602317,Mercedes,Benz S class S400L
Mercedes Benz GLC 200,2021,1390000000.0,Lắp ráp trong nước,SUV,65000,Xăng,Số tự động,https://bonbanh.com/xe-mercedes_benz-glc-200-2021-5638441,Mercedes,Benz GLC 200
Toyota Camry 2.0E,2016,550000000.0,Lắp ráp trong nước,Sedan,75000,Xăng,Số tự động,https://bonbanh.com/xe-toyota-camry-2.0e-2016-5578362,Toyota,Camry 2.0E
Mercedes Benz GLC 300 4Matic,2017,1099000000.0,Lắp ráp trong nước,SUV,68000,Xăng,Số tự động,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2017-5567163,Mercedes,Benz GLC 300 4Matic
Mercedes Benz GLC 300 4Matic,2018,1199000000.0,Lắp ráp trong nước,SUV,48000,Xăng,Số tự động,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2018-5567114,Mercedes,Benz GLC 300 4Matic
Mercedes Benz GLC 300 4Matic,2017,1080000000.0,Lắp ráp trong nước,SUV,50000,Xăng,Số tự động,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2017-5567187,Mercedes,Benz GLC 300 4Matic
Mercedes Benz GLC 200,2019,1050000000.0,Lắp ráp trong nước,SUV,55000,Xăng,Số tự động,https://bonbanh.com/xe-mercedes_benz-glc-200-2019-5567553,Mercedes,Benz GLC 200
Mercedes Benz GLC 200,2021,1399000000.0,Lắp ráp trong nước,SUV,50000,Xăng,Số tự động,https://bonbanh.com/xe-mercedes_benz-glc-200-2021-5596166,Mercedes,Benz GLC 200
Mercedes Benz GLC 250 4Matic,2018,1120000000.0,Lắp ráp trong nước,SUV,79000,Xăng,Số tự động,https://bonbanh.com/xe-mercedes_benz-glc-250-4matic-2018-5567143,Mercedes,Benz GLC 250 4Matic
