car_name,year,price,assemble_place,series,km,engine_type,transmission,url
Ford Ranger XLS 2.2 4x2 AT,2023,665 triệu,Trong nước,Bán Tải,26.000 km,Máy dầu,Số tự động,https://oto.com.vn//mua-ban-xe-ford-ranger-hcm/xe-xuat-hoa-don-gan-nhieu-phu-kien-aidxc23059935
Kia Cerato 1.6 AT,2019,495 triệu,Trong nước,Sedan,45.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-kia-cerato-ha-noi/gia-495-trieu-aidxc23042700
Toyota Camry 2.5Q,2020,968 triệu,Trong nước,Sedan,34.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-toyota-camry-hcm/thiet-ke-tien-nghi-hien-dai-aidxc23059341
Kia Morning Si 1.25 MT,2016,160 triệu,Trong nước,Hatchback,110.000 km,Máy xăng,Số sàn,https://oto.com.vn//mua-ban-xe-kia-morning-ha-tinh/xe-dep-san-di-aidxc23037789
Hyundai Grand i10 Sedan 1.2 AT,2016,260 triệu,Nhập khẩu,Sedan,89.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-hyundai-grand-i10-nghe-an/ban-gap-aidxc23052215
Ford Tourneo Titanium,2019,680 triệu,Trong nước,MPV,58.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-ford-tourneo-hcm/xe-gia-dinh-chu-xe-giu-ky-aidxc23058717
Kia Carnival 3.5G Signature 7 ghế,2022,1 tỉ 559 triệu,Trong nước,MPV,18.888 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-kia-carnival-hcm/may-xanh-bang-cao-nhat-35-aidxc23058246
Toyota Innova 2.0E,2022,690 triệu,Trong nước,SUV,26.000 km,Máy xăng,Số sàn,https://oto.com.vn//mua-ban-xe-toyota-innova-hcm/20e-so-san-2022-xe-gia-dinh-khong-qua-taxi-dich-vu-dep-nhu-moi-aidxc23052286
Audi A4,2022,1 tỉ 489 triệu,Nhập khẩu,Sedan,46.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-audi-a4-hcm/1-ty-489tr-co-thuong-luong-them-aidxc23057991
Mercedes-Benz GLC 200,2022,1 tỉ 520 triệu,Trong nước,SUV,33.796 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-mercedes-benz-glc-200-hcm/chay-duoc-21000-miles-aidxc23057988
Mercedes-Benz E200,2020,1 tỉ 099 triệu,Trong nước,Sedan,125.529 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-mercedes-benz-e200-hcm/gia-tot-aidxc23057984
Porsche Macan GTS,2016,1 tỉ 699 triệu,Trong nước,,39.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-porsche-macan-hcm/xe-dep-cuc-chat-aidxc23057983
Mercedes-Benz C200,2018,789 triệu,Trong nước,,49.600 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-mercedes-benz-c200-hcm/xe-chinh-chu-chay-it-nen-con-rat-moi-aidxc23057975
Mercedes-Benz E300 AMG V1,2021,2 tỉ 199 triệu,Nhập khẩu,Sedan,26.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-mercedes-benz-e300-hcm/dk-2022-lan-banh-moi-26000km-da-test-hang-day-du-aidxc23057918
Toyota Sienna,2021,3 tỉ 999 triệu,Nhập khẩu,SUV,22.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-toyota-sienna-ha-noi/chay-22-van-aidxc23057788
Mazda 2 Sedan 1.5L Luxury,2022,465 triệu,Nhập khẩu,Sedan,24.000 km,Máy xăng,Số tự động,https://oto.com.vn//mua-ban-xe-mazda-2-long-an/mau-trang-noi-that-den-aidxc23057780
Toyota Sienna Limited,2013,1 tỉ 290 triệu,Nhập khẩu,Van/Minivan,68.000 km,Máy xăng,Số hỗn hợp,https://oto.com.vn//mua-ban-xe-toyota-sienna-hcm/toyata-limited-aidxc23054206
